Start Time,End Time,File,Compression Time (ms)
2025-02-27 11:55:36105,2025-02-27 11:55:36113,occupied_20250223_131747_1.drc,8
2025-02-27 11:55:36149,2025-02-27 11:55:36163,occupied_20250223_131748_2.drc,18
2025-02-27 11:55:36191,2025-02-27 11:55:36209,occupied_20250223_131749_3.drc,18
2025-02-27 11:55:36224,2025-02-27 11:55:36240,occupied_20250223_131750_4.drc,16
2025-02-27 11:55:36264,2025-02-27 11:55:36275,occupied_20250223_131751_5.drc,11
2025-02-27 11:55:36303,2025-02-27 11:55:36330,occupied_20250223_131752_6.drc,16
2025-02-27 11:55:36355,2025-02-27 11:55:36367,occupied_20250223_131753_7.drc,12
2025-02-27 11:55:36388,2025-02-27 11:55:36406,occupied_20250223_131754_8.drc,17
2025-02-27 11:55:36431,2025-02-27 11:55:36442,occupied_20250223_131755_9.drc,11
2025-02-27 11:55:36464,2025-02-27 11:55:36476,occupied_20250223_131756_10.drc,11
2025-02-27 11:55:36495,2025-02-27 11:55:36509,occupied_20250223_131757_11.drc,14
2025-02-27 11:55:36528,2025-02-27 11:55:36540,occupied_20250223_131758_12.drc,13
2025-02-27 11:55:36570,2025-02-27 11:55:36581,occupied_20250223_131759_13.drc,13
2025-02-27 11:55:36605,2025-02-27 11:55:36622,occupied_20250223_131800_14.drc,17
2025-02-27 11:55:36642,2025-02-27 11:55:36654,occupied_20250223_131801_15.drc,16
2025-02-27 11:55:36675,2025-02-27 11:55:36688,occupied_20250223_131802_16.drc,13
2025-02-27 11:55:36711,2025-02-27 11:55:36730,occupied_20250223_131803_17.drc,20
2025-02-27 11:55:36756,2025-02-27 11:55:36769,occupied_20250223_131804_18.drc,13
2025-02-27 11:55:36791,2025-02-27 11:55:36812,occupied_20250223_131805_19.drc,21
2025-02-27 11:55:36835,2025-02-27 11:55:36847,occupied_20250223_131806_20.drc,12
2025-02-27 11:55:36878,2025-02-27 11:55:36895,occupied_20250223_131807_21.drc,17
